iter	Passed	Remaining
0	1	111
1	2	108
2	3	105
3	4	98
4	5	98
5	6	97
6	7	96
7	8	95
8	9	94
9	10	93
10	11	92
11	12	91
12	13	90
13	14	88
14	15	87
15	16	86
16	17	86
17	18	84
18	19	83
19	20	83
20	21	81
21	22	81
22	23	80
23	24	79
24	25	77
25	26	76
26	28	75
27	29	74
28	30	73
29	31	72
30	32	71
31	33	70
32	34	69
33	35	68
34	36	67
35	37	66
36	38	65
37	39	64
38	40	63
39	41	62
40	42	61
41	43	59
42	44	58
43	45	57
44	46	56
45	47	55
46	48	54
47	49	53
48	50	52
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	56	46
55	57	45
56	58	44
57	59	43
58	60	42
59	61	41
60	62	39
61	63	38
62	64	37
63	65	36
64	66	35
65	67	34
66	68	33
67	69	32
68	70	31
69	71	30
70	72	29
71	74	28
72	75	27
73	76	26
74	77	25
75	78	24
76	79	23
77	80	22
78	81	21
79	82	20
80	83	19
81	84	18
82	85	17
83	86	16
84	87	15
85	88	14
86	89	13
87	90	12
88	91	11
89	92	10
90	93	9
91	94	8
92	95	7
93	96	6
94	97	5
95	98	4
96	99	3
97	100	2
98	101	1
99	102	0
